id_capitulo,nombre,descripcion,orden
1,Capítulo 1. Contexto de la organización: públicos de interés o partes interesadas relevantes a las actividades enoturísticas,"En la Guía de Sostenibilidad Vitivinícola se aborda en su Capítulo 3 la identificación de las diferentes partes interesadas o públicos de interés de la organización. Al igual que en cualquier versión de una norma o estándar desarrollada por la Organización Internacional para la Estandarización (ISO), contempla un capítulo específico relacionado al contexto de la organización.
En este sentido, la sostenibilidad de una organización se logra partiendo de su capacidad para satisfacer las necesidades y expectativas no solo de sus clientes, es decir, los visitantes o turistas para el caso de esta guía, sino también de todo el ecosistema de partes interesadas o públicos de interés que afectan la actividad turística, con una mirada de largo plazo y de un modo equilibrado. Por lo que, una organización debe ser comprendida como un sistema abierto en continua interacción con su ambiente o contexto externo y en un equilibrio estable y/o inestable que evoluciona con su funcionamiento interno. 
El entorno o contexto actual se caracteriza por cambios continuos, acelerados e inciertos que impactan en toda organización, independientemente de su tipo, tamaño, productos o servicios que brinda. En consecuencia, como estrategia de sostenibilidad turística, la organización debe planificar a largo plazo, analizar el entorno y las tendencias, identificar las partes interesadas pertinentes, la actividad vitivinícola de un modo amplio, y puntualmente la actividad turística comprender las tendencias y evolución de las necesidades de sus partes interesadas, informar e involucrarse respecto de sus actividades, identificar y evaluar riesgos potenciales y sus estrategias de abordaje, etc.
Las partes interesadas son personas, grupos de personas u organizaciones que aportan valor, o bien que tienen determinado interés por las diversas actividades que la organización realiza dado sus diferentes impactos en ellas (1). Las necesidades y expectativas de las partes interesadas son cambiantes y evolucionan en el tiempo, pudiendo estar a favor o en contra del accionar de la organización.
La bodega turística debe comprender que el turismo vitivinícola está en íntima relación con el contexto externo de la región dónde se desempeña y que la impactan de manera directa en su funcionamiento interno y en el logro de propósitos de sostenibilidad, por ello, debe analizar las problemáticas, oportunidades y desafíos que presenta su contexto con relación a turismo. 
Cuadro n° 1: Ejemplo de partes interesadas y sus posibles necesidades y expectativas
Parte interesada	Necesidades y expectativas
Visitantes o turistas	Atención adecuada, instalaciones adecuadas, seguridad en las instalaciones.
Público interno afectado a la actividad turística	Capacitación, contratación laboral en función de la legislación, estabilidad laboral, retribución adecuada en función del rol, responsabilidades y de acuerdo al crecimiento de la actividad.
Proveedores turísticos	Pagos en tiempo, capacitación.
Comunidad	Trabajo conjunto, beneficios mutuos, transparencia, involucramiento de la comunidad respecto del turismo.
Ambiente	Menor impacto negativo posible en las actividades turísticas.",1
2,Capítulo 2. Gobernanza de los principios de la sostenibilidad enoturística,"Dada la necesidad de formalización de planes de gestión de la sostenibilidad vitivinícola y en particular aplicada a la gestión de las buenas prácticas turísticas que acciona la bodega, puede encontrar mayor sintonía con las organizaciones de tamaño mediano a grande donde sus sistemas de gestión y operaciones han logrado un mayor nivel de formalización. Esto último puede ser menos relevante en micro y pequeñas organizaciones. 
La organización debe considerar la necesidad de desarrollar una política y un plan de acción de manera participativa con sus partes interesadas relevantes a la sostenibilidad turística. Debería establecer en conjunto con su público interno, el rumbo o la visión que la organización asumirá en el futuro, o con organismos públicos para desarrollar políticas turísticas de alcance local. 
En este punto es imprescindible partir de una base de ética o integridad que se desarrolla en el capítulo 3.
Además, se debería realizar un seguimiento continuo del entorno o contexto de la sostenibilidad turística para anticiparse a nuevas necesidades que demandan revisar estrategias, políticas, capacidad de los procesos organizacionales relacionados al turismo, tecnologías, oportunidades de mercado, relevamiento de nuevas expectativas de los turistas con relación a la sostenibilidad y al desarrollo sostenible, etc.",2
3,"Capítulo 3. Ética, valores e integridad","El Código Ético Mundial pretende promover un paradigma superador que es reflejo de las actuales necesidades de la sociedad. Este marco de referencia para el turismo hace un llamado mundial a través de sus principios para atender los impactos negativos del turismo en el ambiente, en las comunidades y en el patrimonio cultural. A la vez deben maximizarse los beneficios que derivan del turismo de una manera justa y equitativa, tanto para las comunidades residentes de los destinos, como para las empresas.  
Los principios se incluyen en esta guía como forma de alinear la política de sostenibilidad de la organización con los principios y estándares mundiales del turismo. Considerando que el flujo de turistas y visitantes cada vez más informados y preocupados por las dimensiones sociales, ambientales, éticas y culturales de los destinos
El logro de la transparencia y la integridad de la organización no debería escapar a ninguna organización independientemente de su tamaño y actividad, no obstante, son las organizaciones de mayor tamaño y con ello de mayor poder de influencia en la sociedad en general, las que deben comprometerse a mejorar la visibilización de sus impactos en los temas éticos y de transparencia.",3
4,"Capítulo 4. Receptividad, participación y desarrollo de la comunidad con relación al turismo sostenible","Cualquier actividad turística involucra o está inserta en comunidades receptoras, ya sea para apreciar la cultura del lugar, sus costumbres, su gastronomía, sus sitios históricos o simplemente para apreciar el paisaje del lugar. Sin duda que el turismo vitivinícola se desarrolla en íntima relación con un contexto comunitario asociado a la bodega turística. En este sentido, la actividad turística puede contribuir al desarrollo de las comunidades a partir de inversiones y oportunidades locales, como los empleos directos e indirectos que crea, la renta percibida por el turismo en la comunidad, los impuestos generados, etc. Como también en la promoción de mejoras en infraestructura por parte del sector público y privado. 
Este conjunto de aspectos puede ser evaluados para conocer si realmente la comunidad obtiene beneficios directos o indirectos por el turismo y si tales beneficios son equitativos entre los diferentes actores. La participación de la organización en la comunidad, como parte de sus prácticas de sostenibilidad se hace imprescindible (2).  
Esto constituye un camino de mediano a largo plazo para lograr concientizar, formar y capacitar a la comunidad en pos de potenciar sus capacidades de actuación y desarrollar en ella su responsabilidad con respecto a un turismo sostenible que capte las ventajas directas e indirectas del mismo. 
Sin duda que las problemáticas que involucran a comunidades rurales asociadas a la vitivinicultura son complejas y multidimensionales. El acceso al trabajo, la alfabetización, la pobreza, la delincuencia, la falta de conectividad, la falta de oportunidades, son todos aspectos de gran complejidad en su tratamiento que la bodega turística no puede atender por sí sola cada vez que desee involucrarse con la comunidad y que indefectiblemente surgirán en cualquier debate.  
La clave en todo proceso de desarrollo e involucramiento comunitario basa su accionar en un enfoque participativo y basado en datos e información que sirvan para planificar estratégicamente un turismo sostenible vinculado específicamente a las oportunidades, fortalezas, debilidades y amenazas de cada lugar o destino.",4
5,Capítulo 5. Gestión de la satisfacción del turista,"La satisfacción del turista resulta crucial para la sostenibilidad a largo plazo. Con el advenimiento de la tecnología y de las redes sociales, las opiniones efectuadas respecto a los sitios que visita y las experiencias comentadas tienen un gran valor para otros usuarios. Con lo cual, los indicadores propuestos en este capítulo constituyen una dimensión esencial para la sostenibilidad de un destino o de la bodega enoturística en este caso. 
Es amplio el conjunto de variables que contribuyen a la satisfacción de los turistas, a lo que se suma otro conjunto de indicadores o aspectos relacionados a la sostenibilidad que se evaluarán en capítulos posteriores. En este apartado se proponen indicadores relacionados a la gestión de las expectativas de los turistas desde la calidad en el servicio, la atención, la limpieza del lugar, hospitalidad, la relación precio calidad, los eventos, la gama de experiencias que la bodega ofrece, el nivel de satisfacción general, etc. 
La implementación de un sistema de calidad turística puede permitir a la bodega detectar una serie de patrones orientados a la satisfacción de las expectativas de los turistas, y a la detección de problemas y causas repetitivas, como también ciertas tendencias de consumo que la bodega no está percibiendo.",5
6,Capítulo 6. Servicios para personas con discapacidad,"En este capítulo se abordan aquellos aspectos referidos a las posibilidades de acceso de personas con ciertas dificultades de movilidad a las instalaciones de la bodega turística y a las experiencias que se ofrecen. Estos aspectos constituyen un creciente interés dado el gran número de personas que acceden al turismo, pero con ciertas dificultades para desplazarse u otras (ceguera, hipoacusia, etc.) sean relacionado a la edad o no, a movilidad en silla de ruedas, etc. Las estadísticas indican que una gran parte del turismo mundial está representado en personas mayores de 60 años, dadas las mayores posibilidades en cuanto al tiempo disponible y los recursos necesarios para acceder al goce y al disfrute que brinda el turismo. Por lo cual, es necesario prestar la atención necesaria para que este perfil etario de turistas pueda desplazarse sin mayores inconvenientes.
En los países más avanzados estos aspectos son trabajados a nivel de políticas de estado para que un destino sea elegido por la facilidad de acceso a los diferentes espacios o sitios, no sólo privados, sino también públicos. Por otro lado, es creciente la demanda de prestación de servicio de apoyo a estos visitantes, como el traslado en vehículos preparados, acompañantes capacitados, servicios puerta a puerta, etc. La bodega turística, a partir de su sistema de gestión de la calidad y sostenibilidad turística, puede brindar la información necesaria a los visitantes de una manera pro activa, es decir, sin necesidad de consultas específicas sobre las diferentes posibilidades que se ofrecen en cuanto a la movilidad tanto dentro como fuera de la bodega. Si bien, se ha insistido que la presente guía aborda los servicios turísticos a su interior, no es recomendable omitir por completo aspectos que influyen indirectamente a su sostenibilidad. 
Está surgiendo un tipo de proveedores turísticos que abastecen directamente a quienes necesitan servicios adicionales (algunos personalizados), como los de recogida puerta a puerta, vehículos especiales y ayudantes formados, o excursiones diseñadas que excluyen sitios o alojamientos inapropiados para las personas con dificultades de movimiento (por ejemplo, paradas en el punto donde el paisaje es visible desde el vehículo y no en un lugar que requiere caminar cuesta arriba), etc.",6
7,Capítulo 7. Salud y seguridad de los visitantes e higiene de las instalaciones,"El desarrollo de la sostenibilidad turística debe ser gradual y sistemático y puede derivar en un sistema de gestión. Un sistema de gestión de la sostenibilidad puede considerar los aspectos ya analizados y varios más, por ejemplo, los riesgos que pueden comprometer la salud y seguridad de los visitantes. A partir de este enfoque basado en riesgos, esta dimensión de la sostenibilidad debe contemplar varios aspectos para prevenir y/o tratar enfermedades, accidentes o incidentes que puedan ocurrir tanto en la bodega como fuera de ella. Por más que tratemos con viajes de placer y goce propios de la actividad turística, el cuerpo está sometido a una serie de tensiones provocadas por cambios en el clima (humedad, altitud, temperatura), etc. que contribuyen a desencadenar una serie de enfermedades. Más aún en personas con riesgos crónicos o en personas adultas mayores. 
Entre los riesgos más frecuentes aparece la seguridad que ofrece la propia bodega en recorridas por las instalaciones industriales, la intoxicación alimentaria, los contagios por gripes en un escenario de pos COVID que han puesto en alerta a las autoridades sanitarias mundiales, los problemas cardíacos como también los comportamientos propios de los turistas en cuanto al consumo de alcohol, drogas, accidentes de tránsito, etc. 
En otro orden de aspectos, aparecen los riesgos ambientales En determinadas zonas se hace cada vez más evidente la ocurrencia de fenómenos climáticos extremos que afectan a turistas, lugares y destinos (como el viento zonda, las tormentas intensas de verano, nevadas, etc.). Estos fenómenos pueden afectar reservas, solicitar cancelaciones, desvíos a otros destinos, bloqueo de rutas, etc. La percepción que el turista posea sobre el riesgo, el peligro o la falta de seguridad asociado a estos fenómenos u otros, sin duda afectará la sostenibilidad de esos destinos al influir sobre el deseo de desplazarse a tales sitios.  
Con relación al desarrollo de epidemias mundiales, como la reciente pandemia COVID producto de enfermedades infecciosas altamente transmisibles y que trajo fuertes impactos para la propia actividad, el turismo tiene un papel relevante en la propagación de las mismas, dado el movimiento de personas de un sitio a otro. Con lo cual resulta importante que las bodegas deban asumir ciertas responsabilidades y cooperar dinámicamente con los actores públicos en el establecimiento de políticas de salud. 
Por último, y no menos importante, se hace necesario destacar la seguridad pública, donde la inseguridad afecta incluso a los turistas, repercutiendo también en la sostenibilidad económica de la actividad.
La bodega turística por sí sola no puede abordar estos aspectos de gran complejidad, pero si puede trabajar, en cooperación y alianzas, para mantener la confianza y la buena imagen de los territorios. Para ello, trabajar de una forma preventiva, advertir e informar a los turistas sobre riesgos asociados a determinados lugares constituye un aspecto de la promoción de la sostenibilidad.",7
8,Capítulo 8. Desarrollo del público interno vinculado al turismo,"La bodega turística puede destacarse en muchos aspectos, desde sus atractivos, su arquitectura, su ubicación, sus experiencias particulares, su prestigio y posicionamiento de marca. Sin embargo, las personas o el público interno de excelencia, motivado, comprometido, capacitado que pueda lograr impactar en su sostenibilidad son el mayor valor de toda organización.
Asimismo, la actividad turística que rodea al mundo del vino puede convertirse en una fuente de atractivo importante para los jóvenes que buscan trabajo, más aún, para las poblaciones rurales que buscan oportunidades en sus comunidades. Esto último puede acontecer siempre y cuando se den condiciones favorables para un empleo de calidad, estable y bien remunerado.
Además de los siguientes indicadores que aplican para el área de turismo, es válido considerar lo desarrollado en la Guía de Sostenibilidad Vitivinícola, en general, las actuales pautas o tendencias en términos de sostenibilidad y público interno, como las que aquí se abordan, aplican para cualquier actividad o industria.",8
9,Capítulo 9. Conservación del patrimonio cultural,"Los monumentos históricos, como también todos los hitos y acervos que constituyen el patrimonio y la cultura de una región, representan múltiples dimensiones de los testimonios evolutivos conformando un todo global, que al mismo tiempo se integra al paisaje e invita a los visitantes a una lectura de los acontecimientos civilizatorios que fueron ocurriendo. Todas las obras, grandes y pequeñas, adquieren significados simbólicos que los actores del turismo deben comprometerse a cuidar. Para el caso de Mendoza, existen una serie de aspectos relacionados a su patrimonio cultural y su tradición vitivinícola que la posicionan frente al turismo. Por ejemplo, en el año 1987 la ciudad de Mendoza, junto a otras ciudades de Mendoza, recibió el título de ""Ciudad Internacional de la Vid y el Vino"" como lugares mundiales estratégicos para promover la cultura del vino. En este mismo aspecto, en 2005 Mendoza fue reconocida como octava capital del vino por la Great Wine Capitals, una red mundial de ciudades situadas en ambos hemisferios que comparten valores económicos y culturales y cuyo objetivo es el desarrollo de diversas iniciativas y programas para alcanzar la excelencia en el turismo vitivinícola. Por su parte, a nivel nacional y provincial se han reconocido numerosos monumentos históricos y patrimonios culturales relacionados a la cultura vitivinícola, por ejemplo, el Museo del Vino, La Enoteca: patrimonio de la tierra del vino, Bodegas y Viñedos Panquehua, Viñedos y Bodegas Arizu, la misma Fiesta Nacional de La Vendimia, entre muchos otros. En síntesis, el paisaje del vino trae consigo una potencialidad cultural e histórica indudable dentro del marco de un desarrollo local sostenible.  
A partir de lo anterior, será una cuestión ineludible contribuir a la conservación de estructuras históricas propias de los lugares, a través de declaraciones formales u oficiales de parte de municipios o gobiernos en alianzas con las empresas turísticas y que derivará en mecanismos que aporten valor a los destinos.",9
10,Capítulo 10. Gestión del agua y la energía,"El sector del turismo mundial consume importantes cantidades de energía, principalmente en la movilidad de los visitantes (aviones, trenes, vehículos, etc.), aunque también en las instalaciones fijas (uso de aires acondicionados, calefacción de piscinas, iluminación, etc.). Ello tiene relación directa con uno de los fenómenos de cambio global de clara manifestación entre nosotros y lo que conocemos como el ""cambio climático"" al contribuir a la generación de gases de efecto invernadero. Dichos gases se generan principalmente por la quema de combustibles fósiles, y es oportuno destacar que la generación de energía en el mundo aún está dominada por la quema de éstos en grandes centrales térmicas. 
La gestión de la energía con su consecuente reducción, siempre generará beneficios no solo ambientales sino también económicos para la organización por una disminución de los costos asociados a su uso. Los indicadores propuestos en la gestión energética se centran en la reducción de su consumo y en el aprovechamiento de fuentes energéticas renovables.  
Por su parte, la intensificación de la escasez hídrica en las regiones de cuyo de la Argentina es cada vez más notable y preocupante (7). En este sentido, si bien podría pensarse que los mayores esfuerzos de la bodega turística deberían centrarse en la reducción del consumo de agua en los procesos estrictamente productivos, también es necesario mencionar que las actividades turísticas dependen en gran medida de este vital recurso. Existen evidencias que el consumo de agua por turistas puede duplicar o incluso triplicar el de la población regional. Concretamente la escasez de agua en el futuro provocará fuertes impactos en las actividades turísticas.",10
